timestamp,marker_id,x_base,y_base,z_base
796.672000,11,0.342764,-0.000972,0.200777
796.672000,10,0.335862,0.054090,0.211837
796.672000,9,0.328583,0.103644,0.215117
796.672000,8,0.371020,0.004000,0.207565
796.672000,7,0.364451,0.056936,0.218050
796.672000,6,0.359348,0.107144,0.219599
796.672000,5,0.402622,0.006906,0.215221
796.672000,4,0.392388,0.059724,0.226571
796.672000,3,0.386662,0.107785,0.228398
796.672000,2,0.431356,0.008728,0.222846
796.672000,1,0.420232,0.060913,0.233224
796.672000,0,0.416446,0.110882,0.232097
796.738000,11,0.340253,-0.004230,0.200657
796.738000,10,0.332747,0.049162,0.212258
796.738000,9,0.327982,0.099127,0.213137
796.738000,8,0.372628,0.001287,0.207257
796.738000,7,0.363585,0.054889,0.219550
796.738000,6,0.358754,0.104498,0.219945
796.738000,5,0.400745,0.005340,0.217513
796.738000,4,0.392759,0.057247,0.224577
796.738000,3,0.386784,0.106883,0.227861
796.738000,2,0.431125,0.007614,0.222830
796.738000,1,0.420826,0.060095,0.232252
796.738000,0,0.414975,0.109459,0.234565
796.772000,11,0.341601,0.002334,0.200774
796.772000,10,0.335895,0.055343,0.212290
796.772000,9,0.331415,0.105408,0.211218
796.772000,8,0.373402,0.005154,0.207800
796.772000,7,0.364295,0.058111,0.219527
796.772000,6,0.359304,0.107903,0.220532
796.772000,5,0.402430,0.008648,0.215929
796.772000,4,0.393149,0.060808,0.225595
796.772000,3,0.387319,0.110379,0.228159
796.772000,2,0.430218,0.012099,0.225361
796.772000,1,0.420961,0.063767,0.233058
796.772000,0,0.415153,0.113087,0.235687
796.839000,11,0.340484,-0.003141,0.200608
796.839000,10,0.335142,0.050417,0.211252
796.839000,9,0.328082,0.100169,0.213346
796.839000,8,0.372252,-0.000405,0.207286
796.839000,7,0.363304,0.053258,0.219378
796.839000,6,0.358913,0.103095,0.218658
796.839000,5,0.400871,0.003503,0.216661
796.839000,4,0.392486,0.055591,0.224369
796.839000,3,0.386590,0.105248,0.227464
796.839000,2,0.430774,0.005892,0.222780
796.839000,1,0.420564,0.058426,0.232007
796.839000,0,0.414792,0.107807,0.234132
796.879000,10,0.335274,0.054212,0.213753
796.879000,11,0.341327,0.000985,0.201417
796.879000,9,0.328483,0.103896,0.213697
796.879000,8,0.371062,0.004126,0.207800
796.879000,6,0.358764,0.106527,0.221384
796.879000,7,0.364612,0.056879,0.217647
796.879000,5,0.403254,0.006859,0.214161
796.879000,4,0.392686,0.059749,0.226079
796.879000,3,0.388308,0.111900,0.226689
796.879000,2,0.432704,0.012623,0.222173
796.879000,0,0.415565,0.114430,0.235237
796.879000,1,0.421863,0.064882,0.232073
796.938000,11,0.340685,-0.000453,0.201937
796.938000,10,0.335569,0.052382,0.211585
796.938000,9,0.330679,0.102655,0.212673
796.938000,8,0.373444,0.001394,0.205260
796.938000,7,0.363777,0.055144,0.219113
796.938000,6,0.358746,0.105092,0.220554
796.938000,5,0.402275,0.005209,0.214901
796.938000,4,0.392074,0.058122,0.226197
796.938000,3,0.387119,0.107683,0.226905
796.938000,2,0.431323,0.008513,0.222546
796.938000,1,0.419910,0.060730,0.233669
796.938000,0,0.414824,0.110177,0.234963
796.972000,10,0.335071,0.052922,0.213635
796.972000,11,0.341040,-0.000352,0.201463
796.972000,9,0.328351,0.102615,0.213427
796.972000,8,0.370784,0.002766,0.207815
796.972000,7,0.364349,0.055316,0.217406
796.972000,6,0.359498,0.105613,0.218144
796.972000,5,0.401759,0.006025,0.216170
796.972000,4,0.392500,0.058416,0.225903
796.972000,3,0.387446,0.108156,0.226509
796.972000,2,0.431947,0.008724,0.222030
796.972000,0,0.415205,0.110704,0.234229
796.972000,1,0.421317,0.061107,0.231489
797.039000,11,0.342851,-0.002508,0.199506
797.039000,10,0.333251,0.051106,0.211638
797.039000,9,0.330843,0.101401,0.210348
797.039000,8,0.370437,0.000834,0.207857
797.039000,7,0.364342,0.053674,0.216993
797.039000,6,0.358751,0.103857,0.219581
797.039000,5,0.402244,0.003616,0.214248
797.039000,4,0.392465,0.056659,0.224890
797.039000,3,0.387057,0.108967,0.227789
797.039000,2,0.431739,0.009580,0.222581
797.039000,0,0.414887,0.111645,0.235292
797.039000,1,0.421287,0.062187,0.231969
797.105000,11,0.343271,-0.002686,0.198278
797.105000,10,0.335522,0.051373,0.210658
797.105000,9,0.330664,0.102706,0.212210
797.105000,8,0.372821,0.002189,0.207246
797.105000,7,0.364249,0.055203,0.218079
797.105000,6,0.359280,0.105399,0.218707
797.105000,5,0.400930,0.006244,0.217524
797.105000,4,0.392896,0.058129,0.224694
797.105000,3,0.387292,0.107760,0.227034
797.105000,2,0.432033,0.008048,0.221586
797.105000,1,0.421787,0.060748,0.230935
797.105000,0,0.414632,0.110328,0.235260
797.172000,11,0.342866,-0.001045,0.200282
797.172000,10,0.335774,0.052015,0.209886
797.172000,9,0.330626,0.102411,0.211988
797.172000,8,0.372317,0.002121,0.208285
797.172000,7,0.364212,0.055080,0.217641
797.172000,6,0.359283,0.105177,0.218438
797.172000,5,0.402489,0.004688,0.214609
797.172000,4,0.392111,0.057728,0.226473
797.172000,3,0.386877,0.107572,0.227443
797.172000,2,0.431430,0.008113,0.222530
797.172000,1,0.420185,0.060374,0.233297
797.172000,0,0.415025,0.109997,0.234415
797.238000,10,0.334964,0.052442,0.213593
797.238000,11,0.340910,-0.000847,0.201479
797.238000,9,0.328261,0.102138,0.213331
797.238000,8,0.370656,0.002268,0.207818
797.238000,6,0.358555,0.104748,0.220976
797.238000,7,0.364244,0.054830,0.217352
797.238000,5,0.401635,0.005524,0.216159
797.238000,4,0.391909,0.057883,0.226717
797.238000,3,0.387838,0.107713,0.225638
797.238000,2,0.431827,0.008219,0.222005
797.238000,0,0.415125,0.110218,0.234095
797.238000,1,0.421218,0.060616,0.231410
797.272000,11,0.340330,-0.001979,0.202000
797.272000,10,0.335296,0.050898,0.211462
797.272000,9,0.328086,0.100663,0.214480
797.272000,8,0.373094,-0.000166,0.205288
797.272000,7,0.363514,0.053647,0.218956
797.272000,6,0.356055,0.103105,0.221689
797.272000,4,0.391341,0.056570,0.226871
797.272000,5,0.402479,0.006189,0.214913
797.272000,3,0.387301,0.108873,0.227223
797.272000,2,0.430109,0.009976,0.224926
797.272000,1,0.420516,0.061578,0.233327
797.272000,0,0.414045,0.110717,0.236825
797.340000,10,0.334021,0.055884,0.212343
797.340000,11,0.341634,0.002215,0.201134
797.340000,9,0.328283,0.104649,0.216234
797.340000,8,0.371283,0.005137,0.207495
797.340000,6,0.357290,0.107620,0.220035
797.340000,7,0.364731,0.057894,0.217598
797.340000,5,0.402375,0.008335,0.216218
797.340000,4,0.392360,0.060946,0.227102
797.340000,3,0.387632,0.110505,0.227345
797.340000,2,0.431352,0.011742,0.223871
797.340000,1,0.420403,0.063675,0.233964
797.340000,0,0.416540,0.113556,0.232638
797.405000,11,0.340798,-0.001269,0.200898
797.405000,10,0.335301,0.051856,0.211976
797.405000,9,0.330994,0.101926,0.210489
797.405000,8,0.372622,0.001499,0.207838
797.405000,7,0.363725,0.054584,0.219134
797.405000,6,0.359276,0.104626,0.218802
797.405000,5,0.401678,0.004959,0.215880
797.405000,4,0.392600,0.057231,0.225123
797.405000,3,0.386949,0.106842,0.227279
797.405000,2,0.429497,0.008390,0.225228
797.405000,1,0.420437,0.060155,0.232506
797.405000,0,0.414807,0.109515,0.234730
797.439000,11,0.341057,-0.002050,0.199794
797.439000,10,0.335709,0.051252,0.209635
797.439000,9,0.330441,0.101531,0.212240
797.439000,8,0.370526,0.001283,0.208149
797.439000,7,0.364145,0.054188,0.217711
797.439000,6,0.356922,0.103996,0.219232
797.439000,5,0.401312,0.004545,0.216452
797.439000,3,0.387217,0.109340,0.227902
797.439000,4,0.393245,0.059629,0.224516
797.439000,2,0.431224,0.010306,0.223557
797.439000,0,0.413548,0.111423,0.237694
797.439000,1,0.420769,0.062520,0.233090
797.474000,11,0.340779,0.000061,0.201610
797.474000,10,0.335585,0.052916,0.211460
797.474000,9,0.330623,0.103184,0.212747
797.474000,8,0.372824,0.002209,0.207240
797.474000,7,0.363728,0.055776,0.219644
797.474000,6,0.359217,0.105605,0.219218
797.474000,5,0.402372,0.005711,0.214601
797.474000,4,0.392078,0.058462,0.226239
797.474000,3,0.387471,0.108274,0.227179
797.474000,2,0.430516,0.009243,0.224082
797.474000,0,0.414265,0.110289,0.236242
797.474000,1,0.420958,0.061005,0.232384
797.538000,11,0.342236,-0.003222,0.200866
797.538000,10,0.335093,0.049860,0.211480
797.538000,9,0.328190,0.099452,0.213263
797.538000,8,0.370039,-0.000413,0.207634
797.538000,7,0.363709,0.052654,0.217594
797.538000,6,0.357117,0.102662,0.217742
797.538000,5,0.401671,0.002443,0.215183
797.538000,4,0.391677,0.055415,0.226018
797.538000,3,0.386310,0.104947,0.227708
797.538000,2,0.430733,0.005737,0.222755
797.538000,1,0.419764,0.058021,0.232796
797.538000,0,0.415446,0.107723,0.232327
797.574000,11,0.343098,-0.002787,0.198927
797.574000,10,0.333015,0.051233,0.212196
797.574000,9,0.327892,0.100754,0.215146
797.574000,8,0.370640,0.000704,0.207309
797.574000,7,0.364089,0.053766,0.217329
797.574000,6,0.357052,0.103800,0.218883
797.574000,5,0.400748,0.004512,0.217468
797.574000,4,0.391870,0.056735,0.226056
797.574000,3,0.387086,0.106550,0.226652
797.574000,2,0.430401,0.010065,0.224652
797.574000,1,0.420765,0.062142,0.232581
797.574000,0,0.416857,0.112051,0.231790
797.638000,11,0.340605,-0.000755,0.201639
797.638000,10,0.335459,0.052123,0.211388
797.638000,9,0.330741,0.102390,0.212174
797.638000,8,0.371030,0.001759,0.207159
797.638000,7,0.363608,0.054975,0.219554
797.638000,6,0.356971,0.104795,0.219646
797.638000,5,0.402227,0.004697,0.214702
797.638000,4,0.392445,0.057693,0.225265
797.638000,3,0.386940,0.107436,0.227693
797.638000,2,0.431387,0.008078,0.222543
797.638000,1,0.419782,0.060494,0.233856
797.638000,0,0.415419,0.109966,0.233855
797.672000,11,0.342542,-0.002524,0.200339
797.672000,10,0.333203,0.050948,0.211629
797.672000,9,0.330797,0.101243,0.210321
797.672000,8,0.370386,0.000673,0.207862
797.672000,7,0.364295,0.053517,0.216980
797.672000,6,0.359132,0.103736,0.218114
797.672000,5,0.402194,0.003456,0.214249
797.672000,4,0.392419,0.056503,0.224872
797.672000,3,0.386737,0.106121,0.227089
797.672000,2,0.431138,0.006579,0.222486
797.672000,0,0.414586,0.108773,0.234530
797.672000,1,0.420846,0.059277,0.231533
797.738000,11,0.341423,-0.004053,0.197279
797.738000,10,0.332982,0.050605,0.212375
797.738000,9,0.330641,0.100833,0.210883
797.738000,8,0.372346,0.000007,0.207280
797.738000,7,0.363545,0.051063,0.217648
797.738000,6,0.358779,0.101283,0.217790
797.738000,5,0.400028,0.001954,0.217493
797.738000,4,0.392219,0.053939,0.224167
797.738000,3,0.386820,0.103614,0.226029
797.738000,2,0.431148,0.003673,0.221465
797.738000,1,0.421135,0.056503,0.230315
797.738000,0,0.414189,0.106152,0.234165
797.774000,10,0.333550,0.053260,0.212106
797.774000,11,0.341201,0.000342,0.201199
797.774000,9,0.328041,0.102864,0.215866
797.774000,8,0.370863,0.003241,0.207516
797.774000,6,0.357057,0.105802,0.219623
797.774000,7,0.364411,0.056053,0.217396
797.774000,5,0.401970,0.006424,0.216192
797.774000,4,0.392490,0.058902,0.225812
797.774000,3,0.387412,0.108667,0.226889
797.774000,2,0.430960,0.009815,0.223800
797.774000,1,0.420110,0.061810,0.233678
797.774000,0,0.416331,0.111691,0.232138
797.808000,11,0.343051,0.000340,0.200731
797.808000,10,0.333499,0.053593,0.212561
797.808000,9,0.330613,0.103489,0.212992
797.808000,8,0.370960,0.003380,0.207527
797.808000,7,0.364665,0.056182,0.217100
797.808000,6,0.359598,0.106590,0.218499
797.808000,4,0.391623,0.059166,0.227878
797.808000,5,0.403536,0.005597,0.212868
797.808000,3,0.387203,0.108679,0.227626
797.808000,2,0.430761,0.009885,0.224117
797.808000,0,0.415134,0.111442,0.234770
797.808000,1,0.421224,0.059073,0.230864
797.877000,10,0.333561,0.054992,0.213716
797.877000,11,0.344274,0.000940,0.198059
797.877000,9,0.331079,0.105106,0.212210
797.877000,8,0.370990,0.005607,0.208806
797.877000,6,0.357350,0.107436,0.219959
797.877000,7,0.364747,0.057685,0.217674
797.877000,4,0.392663,0.060745,0.226270
797.877000,5,0.403220,0.007802,0.214475
797.877000,3,0.386991,0.109991,0.228668
797.877000,2,0.430378,0.011806,0.225364
797.877000,1,0.421681,0.063526,0.231866
797.877000,0,0.415993,0.113122,0.233853
797.938000,11,0.342270,-0.003151,0.200859
797.938000,10,0.335129,0.049930,0.211480
797.938000,9,0.328060,0.099543,0.214279
797.938000,8,0.370072,-0.000344,0.207630
797.938000,7,0.363745,0.052721,0.217597
797.938000,6,0.358850,0.102962,0.218653
797.938000,5,0.401704,0.002509,0.215182
797.938000,4,0.391712,0.055479,0.226024
797.938000,3,0.386347,0.105012,0.227721
797.938000,2,0.430766,0.005801,0.222757
797.938000,1,0.419799,0.058083,0.232805
797.938000,0,0.415335,0.107989,0.232824
797.972000,10,0.336310,0.055760,0.211143
797.972000,9,0.330705,0.105612,0.214763
797.972000,11,0.341769,0.002844,0.201116
797.972000,8,0.371921,0.005546,0.206300
797.972000,6,0.359003,0.108482,0.221227
797.972000,7,0.364903,0.058748,0.217791
797.972000,5,0.402502,0.008979,0.216229
797.972000,4,0.392449,0.061568,0.227187
797.972000,3,0.387690,0.111124,0.227502
797.972000,2,0.431473,0.012394,0.223897
797.972000,1,0.420488,0.064305,0.234063
797.972000,0,0.416228,0.114006,0.233660
798.039000,11,0.340725,-0.001599,0.200914
798.039000,10,0.335648,0.053941,0.212163
798.039000,9,0.331235,0.104008,0.210924
798.039000,8,0.373084,0.003687,0.207814
798.039000,7,0.364117,0.056592,0.218726
798.039000,6,0.358868,0.106496,0.220622
798.039000,5,0.402123,0.007170,0.215907
798.039000,4,0.392921,0.059374,0.225404
798.039000,3,0.388110,0.109435,0.225599
798.039000,2,0.430473,0.010687,0.224424
798.039000,1,0.420743,0.062321,0.232835
798.039000,0,0.415003,0.111657,0.235301
798.075000,11,0.343221,0.001954,0.200965
798.075000,10,0.333855,0.054773,0.211961
798.075000,9,0.331020,0.103175,0.210723
798.075000,8,0.370813,0.002697,0.207834
798.075000,7,0.364606,0.055485,0.217193
798.075000,6,0.358915,0.105644,0.219993
798.075000,5,0.401433,0.006358,0.216456
798.075000,4,0.392716,0.058490,0.225130
798.075000,3,0.386932,0.108086,0.227574
798.075000,2,0.430313,0.009372,0.224338
798.075000,0,0.414768,0.110758,0.235056
798.075000,1,0.421130,0.061289,0.231834
798.138000,10,0.335841,0.053086,0.210901
798.138000,11,0.341498,-0.000153,0.200025
798.138000,9,0.330610,0.103283,0.212763
798.138000,8,0.373037,0.002928,0.206784
798.138000,6,0.358988,0.108398,0.221210
798.138000,7,0.364885,0.058663,0.217784
798.138000,4,0.392432,0.061484,0.227179
798.138000,5,0.403582,0.008427,0.213891
798.138000,3,0.387675,0.111039,0.227483
798.138000,2,0.431453,0.012306,0.223896
798.138000,1,0.420472,0.064220,0.234052
798.138000,0,0.415404,0.113828,0.235098
798.175000,10,0.335478,0.053575,0.212458
798.175000,11,0.341565,0.000190,0.199781
798.175000,9,0.330821,0.103697,0.212889
798.175000,8,0.373459,0.002705,0.206193
798.175000,7,0.364573,0.056461,0.217615
